name,age,rank
Cameron Norrie,25.9,41
Camilo Ugo Carabelli,24.3,118
Candy Idoko,21.7,1090
Carl Soderlund,19.1,479
Carl Sundberg,18.4,-1
Carlos Alcaraz,19.7,22
Carlos Alvarez,19.1,1488
Carlos Avellan,23.4,593
Carlos Berlocq,29.4,73
Carlos Cuadrado,21.0,355
Carlos Drada,25.4,-1
Carlos Gimeno Valero,20.8,369
Carlos Gomez Herrera,22.0,671
Carlos Moya,27.7,29
Carlos Palencia,24.2,604
Carlos Salamanca,24.6,404
Carlos Taberner,24.0,130
Carlos Taborga,20.8,-1
Carsten Ball,22.5,157
Casper Ruud,22.9,35
Catalin Gard,26.1,250
Cayetano March,20.4,724
Cecil Mamiit,27.2,192
Cedric Kauffmann,24.8,280
Cedric Pioline,31.6,42
Cedrik Marcel Stebe,25.2,204
Cem Ilkel,23.9,307
Cesar Cruz,16.7,-1
Cesar Escobar Serrano,16.7,-1
Cesar Ramirez,21.0,521
Cezar Cretu,23.3,292
Chak Lam Coleman Wong,19.5,-1
Charalampos Kapogiannis,20.3,1268
Charles Broom,26.1,246
Charles Irie,20.0,-1
Chase Buchanan,20.6,546
Chemseddine Belal,23.4,553
Cheng Yu Yu,22.8,699
Cheuk Wai Hui,24.5,-1
Chia Yen Tsai,25.2,1284
Chieh Fu Wang,21.4,900
Ching Lam,20.4,-1
Chris Brandi,28.5,-1
Chris Eaton,20.8,522
Chris Guccione,22.3,171
Chris Numbers,30.5,-1
Chris Rodesch,22.4,607
Chris Woodruff,27.7,69
Christian Garay,17.8,-1
Christian Harrison,24.6,448
Christian Lindell,22.2,329
Christian Ruud,27.9,121
Christian Saravia,19.3,-1
Christian Sigsgaard,22.5,909
Christian Vinck,25.3,144
Christoffer Konigsfeldt,26.1,-1
Christophe Bosio,24.1,1188
Christophe Pognon,22.9,-1
Christophe Rochus,25.8,86
Christophe Tholl,21.1,-1
Christopher Diaz Figueroa,23.5,667
Christopher Eldon,18.7,-1
Christopher Eubanks,26.3,128
Christopher Kas,30.6,-1
Christopher Koderisch,18.5,1355
Christopher Koutrouzas,21.4,-1
Christopher Lawson,19.9,-1
Christopher Oconnell,28.7,94
Christopher Rungkat,22.3,721
Christos Hadjigeorgiou,18.2,-1
Chu Huan Yi,20.4,600
Chuhan Wang,22.7,495
Chun Hsin Tseng,20.8,172
Chun Hun Wong,22.4,978
Claude Ngoran,27.1,884
Claudio Dias Conduto,16.5,-1
Clay Thompson,22.1,2159
Clemens Trimmel,22.4,177
Clement Chidekh,21.6,434
Clement Mainguy,19.9,-1
Clement Morel,24.4,618
Clement Reix,28.9,502
Clint Bowles,19.2,1401
Coenie Van Wyk,33.8,-1
Cole Gromley,19.5,-1
Coleman Wong,19.2,403
Colin Ebelthite,24.1,254
Colin Fleming,26.2,645
Colin Obrien,26.0,843
Colin Sinclair,28.1,461
Collin Altamirano,20.2,345
Conner Huertas Del Pino,27.1,586
Conor Gannon,21.9,1294
Conor Niland,27.2,261
Constant Lestienne,30.5,94
Constantinos Ioannides,18.8,-1
Corentin Moutet,22.6,90
Courtney John Lock,21.9,2147
Cristian Garin,24.4,90
Cristian Paiz,23.2,1007
Cristian Rodriguez,27.6,388
Cristiano Caratti,30.9,212
Cristobal Saavedra Corvalan,19.7,402
Cyril Jacobe,28.0,-1
