name,age,rank
Dekel Valtzer,21.7,441
Demetris Azoides,23.9,1054
Denes Lukacs,21.3,1518
Denis Golovanov,24.5,729
Denis Gremelmayr,30.3,189
Denis Istomin,35.4,267
Denis Kudla,31.4,174
Denis Matsukevitch,21.5,385
Denis Shapovalov,25.5,78
Denis Yevseyev,31.1,160
Deniss Pavlovs,27.8,533
Dennis Lajola,23.0,719
Dennis Novak,28.8,153
Dennis Novikov,23.6,203
Dennis Van Scheppingen,31.6,278
Denys Molchanov,24.8,239
Devin Badenhorst,18.6,1717
Devin Britton,18.8,1461
Devin Mullings,23.7,1006
Di Wu,28.0,339
Dias Doskarayev,17.9,971
Dick Norman,38.2,263
Didac Perez,20.6,193
Diego Acuna,22.8,891
Diego Ayala,24.2,1223
Diego Cubas,18.3,1102
Diego Fernandez Flores,21.3,832
Diego Galeano,20.1,788
Diego Hartfield,27.0,99
Diego Hidalgo,18.8,974
Diego Junqueira,31.0,125
Diego Moyano,28.9,247
Diego Nargiso,30.6,149
Diego Schwartzman,31.1,113
Diego Veronelli,23.7,232
Dieter Kindlmann,23.9,438
Digvijaypratap Singh,23.2,544
Dimitar Grabuloski,28.6,1340
Dimitar Kutrovsky,27.8,329
Dimitar Kuzmanov,29.6,207
Dimitri Mazur,24.4,863
Dinko Halachev,29.4,1155
Dino Marcan,21.9,377
Dino Prizmic,18.1,165
Dinu Pescariu,26.4,590
Diogo Rocha,20.7,638
Dmitri Tomashevich,27.5,342
Dmitrii Baskov,20.5,2018
Dmitriy Makeyev,21.3,930
Dmitro Tolok,18.4,1031
Dmitry Popko,21.2,231
Dmitry Tursunov,34.6,820
Dmitry Vlasov,18.9,288
Dominic Inglot,27.5,941
Dominic Stricker,22.1,258
Dominic Thiem,30.5,91
Dominik Hrbaty,31.8,166
Dominik Koepfer,30.2,70
Dominik Meffert,29.1,203
Donald Young,29.0,234
Dong Hyun Kim,23.9,344
Doug Bohaboy,26.0,283
Dovydas Sakinis,20.5,1579
Dragos Dima,26.7,327
Dragos Nicolae Madaras,25.8,191
Duck Hee Lee,21.2,212
Dudi Sela,33.2,156
Duilio Beretta,25.9,1428
Duilio Vallebuona,22.6,1541
Duje Ajdukovic,23.5,105
Dusan Lajovic,34.3,86
Dusan Lojda,22.4,169
Dusan Vemic,32.1,178
Dustin Brown,34.5,170
Dzmitry Zhyrmont,26.3,241
Edan Leshem,25.5,446
Edas Butvilas,18.5,784
Eddy Chala,24.0,1263
Edgar Hernandez Perez,21.7,1398
Edgardo Massa,25.5,240
Edouard Roger Vasselin,26.8,106
Edouard Roger-Vasselin,32.5,186
Edris Fetisleam,18.6,1167
Eduardo Nava,26.2,1104
Eduardo Rincon,24.8,885
Eduardo Schwank,26.0,192
Eduardo Struvay,26.2,470
Edward Corrie,25.3,330
Edwin Kempes,25.6,147
Eero Vasa,25.6,1066
Efe Ustundag,23.5,611
Egor Gerasimov,30.8,661
Ekkarin Pisuth Arnonth,24.0,920
Elbert Sie,20.4,707
Elias Ymer,28.4,238
Eliot Spizzirri,22.5,393
Elliot Benchetrit,25.3,614
Elmer Moller,21.1,247
Emanuel Couto,29.6,1043
Emil Reinberg,21.2,1032
Emil Ruusuvuori,25.3,71
Emilio Benfele Alvarez,28.6,131
Emilio Daniel Baez Britez,21.8,1135
Emilio Gomez,31.7,185
Emilio Nava,22.2,146
Emin Agaev,23.2,368
Enrique Lopez Perez,25.1,196
Enrique Olivares,25.0,1103
Enzo Couacaud,27.8,191
Ergi Kirkin,24.0,378
Ergun Zorlu,25.3,866
Erhan Oral,29.9,1247
Eric Nunez,22.8,531
Eric Prodon,21.7,229
Eric Quigley,26.0,463
Eric Taino,32.5,957
Erik Chvojka,25.4,233
Erling Tveit,25.5,598
Ernesto Escobedo,27.1,399
Ernests Gulbis,34.4,289
Ervin Eleskovic,23.1,483
Esat Tanik,20.4,692
Ethan Quinn,20.3,254
Evan Furness,24.1,208
Evan King,25.3,347
Evgenii Tiurnev,24.5,304
Evgeny Donskoy,31.1,157
Evgeny Karlovskiy,24.1,218
Evgeny Kirillov,23.9,378
Evgeny Korolev,25.2,195
Evghenii Plugariov,21.0,1247
Eyal Ran,27.4,384
Fabian Marozsan,25.0,59
Fabiano De Paula,25.6,458
Fabio Fognini,37.3,81
Fabrice Martin,28.4,350
Fabrice Santoro,36.8,50
Facundo Arguello,22.5,146
Facundo Bagnis,34.1,136
Facundo Diaz Acosta,23.6,64
Facundo Mena,29.9,151
Faisal Aidil,17.5,1335
Fajing Sun,27.9,359
Faris Zakaryia,23.3,923
Farrukh Dustov,30.1,225
Fazaluddin Syed,25.4,436
Febi Widhiyanto,24.1,529
Federico Agustin Gomez,27.8,174
Federico Browne,28.1,181
Federico Camacho,21.5,1328
Federico Coria,32.1,83
